O1810P36,nanE-6,nanE-6,nan,nan,2021-08-15 16:16:35
C1309R12,0.882706E-6,9824.469619E-6,5.9693726249371,7.563814945897155,2021-08-15 16:59:07
O1809R32,0.746302E-6,2331.276665E-6,13.531641748279782,14.69360412724399,2021-08-15 16:59:18
C1309R14,0.975313E-6,13800.038006E-6,6.034594822169842,7.4806987706273596,2021-08-15 16:59:30
CO209R34,0.731705E-6,1480.447956E-6,14.478154118911258,15.659767408187157,2021-08-15 16:59:45
C1309R16,1.047737E-6,16595.929917E-6,6.048753923937402,7.8117294068736935,2021-08-15 16:59:55
O1809R34,0.711033E-6,3000.487915E-6,13.961503564508439,15.287450825575943,2021-08-15 17:00:07
CO210P14,2.163492E-6,14466.957810E-6,6.039178739291632,7.513069841159571,2021-08-15 17:00:29
C1309R18,1.071714E-6,4740.817457E-6,6.070063213601527,7.534262705613134,2021-08-15 17:00:39
O1809R36,0.697760E-6,2880.556619E-6,13.650670887826752,14.921004010041266,2021-08-15 17:00:52
C1309R20,0.962518E-6,22393.631558E-6,6.008555499231447,7.366262868567829,2021-08-15 17:01:01
CO209P24,nanE-6,nanE-6,nan,nan,2021-08-15 17:01:59
CO209P24,nanE-6,nanE-6,nan,nan,2021-08-15 17:01:59
O1809R38,0.545911E-6,2135.062992E-6,15.337441210432418,16.442941174388665,2021-08-15 17:02:12
O1809R40,0.688606E-6,3125.503483E-6,12.588786474240141,13.483344860754496,2021-08-15 17:02:40
C1309R22,0.899135E-6,14457.409141E-6,6.138395616894575,7.403571461329101,2021-08-15 17:03:36
C1309R24,0.923442E-6,5201.194171E-6,6.038933170951598,7.396863175627601,2021-08-15 17:03:59
C1309R26,0.856549E-6,6651.724102E-6,6.021434421255079,7.963059933411628,2021-08-15 17:04:21
O1810P36,2.028628E-6,2084.320903E-6,6.5087742644689,8.089468816381062,2021-08-15 17:05:41
C1309R28,nanE-6,nanE-6,nan,nan,2021-08-15 17:05:51
C1309R28,nanE-6,nanE-6,nan,nan,2021-08-15 17:05:51
O1810R36,2.510993E-6,1979.488537E-6,6.052370298168219,7.357068633959115,2021-08-15 17:06:06
O1809P46,nanE-6,nanE-6,nan,nan,2021-08-15 17:06:48
O1809P46,nanE-6,nanE-6,nan,nan,2021-08-15 17:06:48
C1309R30,nanE-6,nanE-6,nan,nan,2021-08-15 17:08:02
C1309R30,nanE-6,nanE-6,nan,nan,2021-08-15 17:08:02
C1309R32,0.681543E-6,9820.744495E-6,6.008523992911301,7.63860375604531,2021-08-15 17:09:07
C1309R34,nanE-6,nanE-6,nan,nan,2021-08-15 17:10:48
C1309R34,nanE-6,nanE-6,nan,nan,2021-08-15 17:10:48
C1310P26,1.029014E-6,3819.186154E-6,6.807514526359668,8.308580223542528,2021-08-15 17:12:40
C1310P24,1.175352E-6,5632.232575E-6,9.492223907052866,11.348303550397945,2021-08-15 17:14:44
C1309R28,nanE-6,nanE-6,nan,nan,2021-08-15 17:19:45
C1309R28,nanE-6,nanE-6,nan,nan,2021-08-15 17:19:45
C1309R30,nanE-6,nanE-6,nan,nan,2021-08-15 17:21:25
C1309R30,nanE-6,nanE-6,nan,nan,2021-08-15 17:21:25
C1309R34,nanE-6,nanE-6,nan,nan,2021-08-15 17:21:51
C1309R34,nanE-6,nanE-6,nan,nan,2021-08-15 17:21:51
